Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,348,317,386,"16,29","0,000%","74,40476","69,03","31,97","950,0"
TOTAL,100,348,317,386,"16,29","0,000%","74,40476","69,03","31,97","950,0"
