Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1600,5040,417,13989,"2127,62","0,000%","111,88029","103,97","48,07","951,6"
TOTAL,1600,5040,417,13989,"2127,62","0,000%","111,88029","103,97","48,07","951,6"
