Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,6400,23098,863,74944,"11831,32","0,172%","84,67737","79,08","36,32","956,3"
TOTAL,6400,23098,863,74944,"11831,32","0,172%","84,67737","79,08","36,32","956,3"
