Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3200,11712,656,32216,"7291,02","0,031%","97,47776","90,86","41,87","954,5"
TOTAL,3200,11712,656,32216,"7291,02","0,031%","97,47776","90,86","41,87","954,5"
